,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,ROLL,1,28,,5,1.4,29.04,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 6MM BLACK 100Mtr./Roll
,,,ROLL,1,42,,5,2.1,44.1,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 6MM Y/G 100Mtr./Roll
,,,ROLL,1,34,,5,1.7,35.7,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 10MM RED 100Mtr./Roll
,,,ROLL,1,34,,5,1.7,35.7,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 10MM YELLOW 100Mtr./Roll
,,,ROLL,1,34,,5,1.7,35.7,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 10MM BLUE 100Mtr./Roll
,,,ROLL,1,34,,5,1.7,35.7,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 10MM BLACK 100Mtr./Roll
,,,ROLL,1,71,,5,3.55,74.55,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 16MM RED 100Mtr./Roll
,,,ROLL,1,71,,5,3.55,74.55,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 16MM YELLOW 100Mtr./Roll
,,,ROLL,1,71,,5,3.55,74.55,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 16MM BLUE 100Mtr./Roll
,,,ROLL,1,71,,5,3.55,74.55,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 16MM BLACK 100Mtr./Roll
,,,ROLL,1,71,,5,3.55,74.55,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 16MM Y/G 100Mtr./Roll
,,,NOS,4,5,,5,1,21,,,,,,,,,,,,,,,,,,,NYLON CABLE PULLER 3 X 5MTR. GIFFEX 
,,,NOS,4,7,,5,1.4,29.4,,,,,,,,,,,,,,,,,,,NYLON CABLE PULLER 3 X 10MTR. GIFFEX 
,,,NOS,4,8,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,NYLON CABLE PULLER 3 X 15MTR. GIFFEX 
,,,NOS,4,10,,5,2,42,,,,,,,,,,,,,,,,,,,NYLON CABLE PULLER 3 X 20MTR. GIFFEX 
,,,NOS,4,12,,5,2.4,50.4,,,,,,,,,,,,,,,,,,,NYLON CABLE PULLER 3 X 25MTR. GIFFEX 
,,,NOS,4,14,,5,2.8,58.8,,,,,,,,,,,,,,,,,,,NYLON CABLE PULLER 3 X 30MTR. GIFFEX 
,,,NOS,12,4,,5,2.4,50.4,,,,,,,,,,,,,,,,,,,CAMERA BOX ROUND CX-1 GIFFEX 
,,,NOS,12,6,,5,3.6,75.6,,,,,,,,,,,,,,,,,,,CAMERA BOX SQUARE CX-2 GIFFEX
,,,NOS,20,1,,5,1,21,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F0625-6MM 2P 5A-10A 250V 
,,,NOS,20,1.25,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F1025-10MM 2P 10A 250V 
,,,NOS,20,1.5,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F1525-12MM 2P 15A 250V 
,,,NOS,20,1.5,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F0638-6MM 3P 5A-6A 250V 
,,,NOS,20,1.75,,5,1.75,36.75,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F1038-10MM 3P 10A 250V 
,,,NOS,20,2.25,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F1538-12MM 3P 15A 250V 
,,,NOS,20,2.6,,5,2.6,54.6,,,,,,,,,,,,,,,,,,,CERAMIC CONNECTOR F3038-16MM 3P 25A-30A 600V 
,,,NOS,5,1.25,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,PULLING SPRING H/DUTY 5MMX10MTR.MS GIFFEX
,,,NOS,5,6,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,PULLING SPRING H/DUTY SMMX15MTR.MS GIFFEX 
,,,NOS,5,7,,5,1.75,36.75,,,,,,,,,,,,,,,,,,,PULLING SPRING H/DUTY 5MMX20MTR.MS GIFFEX
,,,NOS,5,8,,5,2,42,,,,,,,,,,,,,,,,,,,PULLING SPRING H/DUTY SMMX25MTR.MS GIFFEX 
,,,NOS,5,9,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,PULLING SPRING H/DUTY 5MMX30MTR.MS GIFFEX 
,,,NOS,1,29,,5,1.45,30.45,,,,,,,,,,,,,,,,,,,FISHING TAPE 30MTR. (STEEL TYPE) GIFFEX 
,,,NOS,1,40,,5,2,42,,,,,,,,,,,,,,,,,,,FISHING TAPE 60MTR. (STEEL TYPE) GIFFEX 
,,,NOS,600,0.2,,5,6,126,,,,,,,,,,,,,,,,,,,C/Box LID 65MM (20MM) WHITE
,,,NOS,300,0.3,,5,4.5,94.5,,,,,,,,,,,,,,,,,,,C/Box LID 85MM (25MM) WHITE
,,,NOS,600,0.2,,5,6,126,,,,,,,,,,,,,,,,,,,C/Box LID 65MM (20MM) BLACK
,,,NOS,300,0.3,,5,4.5,94.5,,,,,,,,,,,,,,,,,,,C/Box LID 85MM (25MM) BLACK
,,,SET,1,65,,5,3.25,68.25,,,,,,,,,,,,,,,,,,,UTILITY KNIFE SX48-1 48 PCS/SET
,,,NOS,5,16,,5,4,84,,,,,,,,,,,,,,,,,,,WIRE PULLING LUBRICANT 1 Liter GX-WPL1L GIFFEX 
,,,NOS,2,37,,5,3.7,77.7,,,,,,,,,,,,,,,,,,,WIRE PULLING LUBRICANT 1 Gallon GX-WPL1G GIFFEX
,,,NOS,20,4,,5,4,84,,,,,,,,,,,,,,,,,,,H/D BENDING SPRING 20MM Blue Zinc Coated 
,,,NOS,20,5,,5,5,105,,,,,,,,,,,,,,,,,,,H/D BENDING SPRING 25MM Blue Zinc Coated 
,,,NOS,20,7,,5,7,147,,,,,,,,,,,,,,,,,,,H/D BENDING SPRING 32MM Blue Zinc Coated 
,,,NOS,10,8,,5,4,84,,,,,,,,,,,,,,,,,,,DISTRIBUTION BOX 2WAY HT-2 GIFFEX
,,,ROLL,3,26,,5,3.9,81.9,,,,,,,,,,,,,,,,,,,SPEAKER CABLE 2CX0.75MM2 100YARD WHITE GIFFEX
,,,ROLL,3,26,,5,3.9,81.9,,,,,,,,,,,,,,,,,,,SPEAKER CABLE 2CX0.75MM RED/BLACK 100YARD- GIFFEX
,,,ROLL,3,26,,5,3.9,81.9,,,,,,,,,,,,,,,,,,,SPEAKER CABLE 2CX0.75MM TRANSPARENT 100YARD-GIFFEX
,,,NOS,3,15,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LS-315
,,,NOS,3,65,,5,9.75,204.75,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LSCB 6-6
,,,NOS,3,25,,5,3.75,78.75,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LT-500R
,,,NOS,2,25,,5,2.5,52.5,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LS-30)
,,,NOS,2,58,,5,5.8,121.8,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LSC8 16-4
,,,NOS,2,25,,5,2.5,52.5,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LS-06WF
,,,NOS,2,30,,5,3,63,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LS-35WF
,,,NOS,2,48,,5,4.8,100.8,,,,,,,,,,,,,,,,,,,CRIMPING TOOL LSCB 6-4
,,,NOS,2,15,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,CRIMPING AND WIRE STRIPPER LS-313 
,,,NOS,2,10,,5,1,21,,,,,,,,,,,,,,,,,,,CRIMPING AND WIRE STRIPPER LS-313C 
,,,NOS,100,0.3,,5,1.5,31,,,,,,,,,,,,,,,,,,,BLOXCONNECT END STOPPER E/FJ
,,,PKT,6,39,,5,11.7,245.7,,,,,,,,,,,,,,,,,,,SS CABLE TIE (SS316) UNCOATED BU46-400 (400X4.6)
,,,PKT,6,28,,5,8.4,176.4,,,,,,,,,,,,,,,,,,,SS CABLE TIE (SS316) UNCOATED BU46-300 (300X4.6)
,,,NOS,60,0.6,,5,1.8,37.8,,,,,,,,,,,,,,,,,,,BLOXCONNECT CLOSED TYPE TERMINAL BLOCK 2.5MM FJ3NE
,,,NOS,50,0.65,,5,1.63,34.13,,,,,,,,,,,,,,,,,,,BLOXCONNECT CLOSED TYPE TERMINAL BLOCK 4.0MM FJ5NE
,,,NOS,40,0.9,,5,1.8,37.8,,,,,,,,,,,,,,,,,,,BLOXCONNECT CLOSED TYPE TERMINAL BLOCK 6.0MM FJ6NE
,,,NOS,30,1.1,,5,1.65,34.65,,,,,,,,,,,,,,,,,,,BLOXCONNECT CLOSED TYPE TERMINAL BLOCK 10.0MM FJ1ONE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/7/2024 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,July
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,382874
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,100,1.15,,5,5.7,119.6,,,,,,,,,,,,,,,,,,,WALL PLUG 6MM X 30 NYLON GIFFEX
,,,PKT,25,2.9,,5,3.59,75.4,,,,,,,,,,,,,,,,,,,WALL PLUG 8MM X 40 NYLON GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,November
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,415875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,200,0.9,,5,9,189,,,,,,,,,,,,,,,,,,,CERAMIC HOLDER GU10
,,,NOS,100,0.75,,5,3.75,78.75,,,,,,,,,,,,,,,,,,,CERAMIC HOLDER MR16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,November
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,415311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,LTH,80,2.75,,5,11,231,,,,,,,,,,,,,,,,,,,STICKER TYPE PVC TRUNKING 16 X 16 LSD
,,,LTH,25,3.75,,5,4.69,98.44,,,,,,,,,,,,,,,,,,,STICKER TYPE PVC TRUNKING 25X 16 LSD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,November
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,415311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,4,18,,5,3.6,75.6,,,,,,,,,,,,,,,,,,,A/C RELAY 6P 200-240VAC G7L-2P-TUBJ-CB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/11/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,November
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,413628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,MTR,100,2.85,,5,14.25,299.25,,,,,,,,,,,,,,,,,,,CONTROL CABLE 7CX0.75MM GIFFEX 
,,,MTR,100,3.7,,5,18.5,388.5,,,,,,,,,,,,,,,,,,,CONTROL CABLE 5CX1.5MM GIFFEX 
,,,MTR,100,1.3,,5,6.5,136.5,,,,,,,,,,,,,,,,,,,CONTROL CABLE 4CX0.5MM GIFFEX
,,,MTR,100,1.3,,5,6.5,136.5,,,,,,,,,,,,,,,,,,,CONTROL CABLE 3CX0.75MM GIFFEX
,,,NOS,1,20,,5,1,21,,,,,,,,,,,,,,,,,,,KEY MANAGEMENT STATION 12 WAY GX-MK12 GIFFEX
,,,NOS,1,28,,5,1.4,29.4,,,,,,,,,,,,,,,,,,,KEY MANAGEMENT STATION 24 WAY GX-MK24 GIFFEX
,,,NOS,2,17,,5,1.7,35.7,,,,,,,,,,,,,,,,,,,MULTI USE WIRE STRIPPER GX-MS200 GIFFEX 
,,,SET,6,1.75,,5,0.53,11.03,,,,,,,,,,,,,,,,,,,SANITARY FIXING SET WC-G-85
,,,NOS,3,33,,5,4.95,103.95,,,,,,,,,,,,,,,,,,,TIMER SWITCH SUL181H
,,,LTH,10,1.1,,5,0.55,11.55,,,,,,,,,,,,,,,,,,,HTG HEAT PROOF COTTON SLEEVE 10.0MM 1MTR
,,,NOS,10,2,,5,1,21,,,,,,,,,,,,,,,,,,,WIRE PULLER HAND GUARD GWP-36
,,,NOS,10,1.5,,5,0.75,15.75,,,,,,,,,,,,,,,,,,,PILOT DRILL BIT GXHS-DB GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/11/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,November
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,413569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,2,5.5,,5,0.55,11.55,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-1B BLACK 100PCS/PKT GIFFEX
,,,PKT,2,6.5,,5,0.65,13.65,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-2B BLACK R100PCS/PKT GIFFEX
,,,PKT,2,7.75,,5,0.78,16.28,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-30B BLACK 25PCS/PKT GIFFEX
,,,PKT,2,9.5,,5,0.95,19.95,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-40B BLACK 25PCS/PKT GIFFEX
,,,PKT,2,12.5,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-50B BLACK 25PCS/PKT GIFFEX
,,,PKT,2,5.5,,5,0.55,11.55,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-1W WHITE 100PCS/PKT GIFFEX
,,,PKT,2,6.5,,5,0.65,13.65,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-2W WHITE 100PCS/PKT GIFFEX
,,,PKT,2,7.75,,5,0.78,16.28,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-30W WHITE 25PCS/PKT GIFFEX
,,,PKT,2,9.5,,5,0.95,19.95,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-40W WHITE 25PCS/PKT GIFFEX
,,,PKT,2,12.5,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,FC ADHESIVE CLAMP FC-50W WHITE 25PCS/PKT GIFFEX
,,,PKT,2,8,,5,0.8,16.8,,,,,,,,,,,,,,,,,,,CABLE TIE BASE 20 X 20 WHITE GIFFEX
,,,PKT,2,11,,5,1.1,23.1,,,,,,,,,,,,,,,,,,,CABLE TIE BASE 25 X 25 WHITE GIFFEX
,,,NOS,6,10,,5,3,63,,,,,,,,,,,,,,,,,,,METAL CLAD 1GANG SWITCH WITH BOX M301 
,,,NOS,6,11,,5,3.3,69.3,,,,,,,,,,,,,,,,,,,METAL CLAD 2GANG SWITCH WITH BOX M303 
,,,NOS,6,12,,5,3.6,75.6,,,,,,,,,,,,,,,,,,,METAL CLAD 3GANG SWITCH WITH BOX M305 
,,,NOS,10,17,,5,8.5,178.5,,,,,,,,,,,,,,,,,,,METAL CLAD 13A DOUBLE SWITCH SOCKET+BOX M406
,,,NOS,10,13,,5,6.5,136.5,,,,,,,,,,,,,,,,,,,METAL CLAD 13A SINGLE SWITCH SOCKET + BOX M409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/11/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,November
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,416644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,25,5.25,,5,6.56,137.81,,,,,,,,,,,,,,,,,,,METAL CLAD 40MM 2GANG BOX 6X3 M832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/09/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,September
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,399679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,200,2.25,,5,22.5,472.5,,,,,,,,,,,,,,,,,,,WALL PLUG 7MM X 35 NYLON GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/9/2024 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,September
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,398124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,25,1,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,ROCKER SWITCH WITH NEON KCD4-201N RED 
,,,NOS,10,3,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,ROCKER SWITCH WITH NEON KCD4-30A RED 
,,,NOS,50,0.75,,5,1.88,39.38,,,,,,,,,,,,,,,,,,,ROCKER SWITCH WITHOUT NEON KCD1-105 2P 
,,,NOS,25,1,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,ROCKER SWITCH WITHOUT NEON KCD1-203 
,,,NOS,25,0.75,,5,0.94,19.69,,,,,,,,,,,,,,,,,,,ROCKER SWITCH WITHOUT NEON KCD3-103 
,,,NOS,25,1,,5,1.25,26.25,,,,,,,,,,,,,,,,,,,ROCKER SWITCH WITHOUT NEON KCD4-201 
,,,NOS,100,3,,5,15,315,,,,,,,,,,,,,,,,,,,CUPBOARD SWITCH GCS-202
,,,PKT,5,17,,5,4.25,89.25,,,,,,,,,,,,,,,,,,,UTP MODULAR PLUG RJ45 (CAT6) 8P 8C PIN 
,,,PKT,2,17,,5,1.7,35.7,,,,,,,,,,,,,,,,,,,UTP MODULAR PLUG RJ11 (CAT3) 6P 4C PIN 
,,,NOS,2,21,,5,2.1,44.1,,,,,,,,,,,,,,,,,,,BUS BAR PIN TYPE 1.2X7MM 2P 63A GIFFEX 
,,,NOS,2,21,,5,2.1,44.1,,,,,,,,,,,,,,,,,,,BUS BAR U TYPE 1.2X7MM 2P 63A GIFFEX 
,,,NOS,3,28,,5,4.2,88.2,,,,,,,,,,,,,,,,,,,BUS BAR PIN TYPE 1.2X7MM 3P 63A GIFFEX 
,,,NOS,3,30,,5,4.5,94.5,,,,,,,,,,,,,,,,,,,BUS BAR U TYPE 1.2X7MM 3P '63A GIFFEX 
,,,NOS,3,38,,5,5.7,119.7,,,,,,,,,,,,,,,,,,,BUS BAR PIN TYPE 1.2X7MM 4P 63A GIFFEX 
,,,NOS,3,40,,5,6,126,,,,,,,,,,,,,,,,,,,BUS BAR U TYPE 1.2X7MM 4P 63A GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/10/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,October
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,408082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,3,110,,5,16.5,346.5,,,,,,,,,,,,,,,,,,,TELEPHONE CABINET 600X600X150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/9/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,October
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,407006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,12,2.5,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 2.5UF PIN TYPE 
,,,NOS,12,1.5,,5,0.9,18.9,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 1.SUF CABLE TYPE 
,,,NOS,10,2,,5,1,21,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 2UF CABLE TYPE 
,,,NOS,10,3,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 3UF CABLE TYPE 
,,,NOS,10,3.25,,5,1.63,34.13,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 3.5UF CABLE TYPE 
,,,NOS,10,3.5,,5,1.75,36.75,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 4UF CABLE TYPE 
,,,NOS,10,4,,5,2,42,,,,,,,,,,,,,,,,,,,FAN CAPACTIOR 450VAC CBB61 5UF CABLE TYPE 
,,,NOS,6,5.5,,5,1.65,34.65,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 20UF PIN TYPE 
,,,NOS,6,6,,5,1.8,37.8,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 25UF PIN TYPE 
,,,NOS,6,6.5,,5,1.95,40.95,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 30UF PIN TYPE 
,,,NOS,6,7,,5,2.1,44.1,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 35UF PIN TYPE 
,,,NOS,6,8,,5,2.4,50.4,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 40UF PIN TYPE 
,,,NOS,6,9,,5,2.7,56.7,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 45UF PIN TYPE 
,,,NOS,6,10,,5,3,63,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 50UF PIN TYPE 
,,,NOS,6,10,,5,3.15,66.15,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 370VAC CBB65 55UF PIN TYPE 
,,,NOS,6,7.5,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 450VAC CBB65 35+5UF PIN TYPE 
,,,NOS,6,8.5,,5,2.55,53.55,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 450VAC CBB65 40+5UF PIN TYPE 
,,,NOS,6,9.5,,5,2.85,59.85,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 450VAC CBB65 45+5UF PIN TYPE 
,,,NOS,6,11,,5,3.3,69.3,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 450VAC CBB65 55+5UF PIN TYPE 
,,,NOS,6,12,,5,3.6,75.6,,,,,,,,,,,,,,,,,,,AIR/C CAPACITOR 450VAC CBB65 65+5UF PIN TYPE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,424003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,30,3.25,,5,4.88,102.38,,,,,,,,,,,,,,,,,,,METALCLAD 40MM 1GANG BOX 3X3 M831
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
